dataset,folder,method,keep_frac,reference_users,reference_items,current_users,current_items,min_user_count,p01_user_count,p05_user_count,median_user_count,min_item_count,p01_item_count,p05_item_count,median_item_count,u0_count,u1_count,u01_count,u0_pct,u1_pct,coldstart_user_pct,i0_count,i1_count,i01_count,i0_pct,i1_pct,coldstart_item_pct
amazon,amazon_dedup_base_split,userwise_temporal_holdout_with_coverage,1.0,27525,20312,27525,20312,9,9.0,9.0,12.0,1,5.0,8.0,15.0,0,0,0,0.0,0.0,0.0,0,18,18,0.0,0.088618,0.088618
amazon,amazon_head_keep0.1,head_item_cut_train_only,0.1,27525,20312,27525,20312,1,1.0,1.0,1.0,1,1.0,1.0,2.0,0,20350,20350,0.0,73.932788,73.932788,0,8880,8880,0.0,43.717999,43.717999
amazon,amazon_random_keep0.1,random_thinning_train_only,0.1,27525,20312,27525,20312,1,1.0,1.0,1.0,1,1.0,1.0,1.0,0,20124,20124,0.0,73.111717,73.111717,0,11430,11430,0.0,56.272154,56.272154
amazon,amazon_random_keep0.3,random_thinning_train_only,0.3,27525,20312,27525,20312,1,1.0,1.0,4.0,1,1.0,2.0,5.0,0,3425,3425,0.0,12.443233,12.443233,0,1007,1007,0.0,4.95766,4.95766
amazon,amazon_random_keep0.5,random_thinning_train_only,0.5,27525,20312,27525,20312,1,2.0,3.0,7.0,1,2.0,3.0,8.0,0,227,227,0.0,0.824705,0.824705,0,126,126,0.0,0.620323,0.620323
amazon,amazon_random_keep0.7,random_thinning_train_only,0.7,27525,20312,27525,20312,1,4.0,5.0,9.0,1,3.0,5.0,11.0,0,6,6,0.0,0.021798,0.021798,0,38,38,0.0,0.187082,0.187082
amazon,amazon_random_keep0.9,random_thinning_train_only,0.9,27525,20312,27525,20312,4,6.0,7.0,11.0,1,4.0,7.0,13.0,0,0,0,0.0,0.0,0.0,0,19,19,0.0,0.093541,0.093541
amazon,amazon_tail_keep0.1,tail_item_cut_train_only,0.1,27525,20312,27525,20312,1,1.0,1.0,1.0,1,1.0,1.0,1.0,0,19089,19089,0.0,69.351499,69.351499,0,14601,14601,0.0,71.883616,71.883616
hm,hm_dedup_base_split,userwise_temporal_holdout_with_coverage,1.0,12905,6654,12905,6654,27,27.0,27.0,35.0,1,4.0,13.0,55.0,0,0,0,0.0,0.0,0.0,0,6,6,0.0,0.090171,0.090171
hm,hm_head_keep0.1,head_item_cut_train_only,0.1,12905,6654,12905,6654,1,1.0,1.0,3.0,1,2.0,3.0,6.0,0,2414,2414,0.0,18.705928,18.705928,0,31,31,0.0,0.465885,0.465885
hm,hm_random_keep0.05,random_thinning_train_only,0.05,12905,6654,12905,6654,1,1.0,1.0,1.0,1,1.0,1.0,2.0,0,8080,8080,0.0,62.611391,62.611391,0,2733,2733,0.0,41.073039,41.073039
hm,hm_random_keep0.1,random_thinning_train_only,0.1,12905,6654,12905,6654,1,1.0,1.0,3.0,1,1.0,1.0,5.0,0,2287,2287,0.0,17.721813,17.721813,0,675,675,0.0,10.144274,10.144274
hm,hm_random_keep0.5,random_thinning_train_only,0.5,12905,6654,12905,6654,5,9.0,11.0,18.0,1,2.0,6.650000000000034,28.0,0,0,0,0.0,0.0,0.0,0,30,30,0.0,0.450857,0.450857
hm,hm_random_keep0.7,random_thinning_train_only,0.7,12905,6654,12905,6654,10,16.0,18.0,25.0,1,3.0,9.0,39.0,0,0,0,0.0,0.0,0.0,0,12,12,0.0,0.180343,0.180343
hm,hm_random_keep0.9,random_thinning_train_only,0.9,12905,6654,12905,6654,18,22.0,24.0,31.0,1,4.0,12.0,50.0,0,0,0,0.0,0.0,0.0,0,12,12,0.0,0.180343,0.180343
hm,hm_tail_keep0.1,tail_item_cut_train_only,0.1,12905,6654,12905,6654,1,1.0,1.0,3.0,1,1.0,1.0,1.0,0,2709,2709,0.0,20.991864,20.991864,0,4350,4350,0.0,65.374211,65.374211
