dataset,folder,entity_type,entity_id,dense_count,base_pool_count,base_train_count,base_valid_count,test_count,variant_pool_count,variant_train_count,variant_valid_count,cold_in_base,became_cold_thinning,became_cold_valid,below_k_in_dense
amazon,amazon_dedup_base_split,item,B0C6FNFT7V,12,2,1,1,10,2,1,1,True,False,True,False
amazon,amazon_dedup_base_split,item,B0BXJZ9LXH,12,2,1,1,10,2,1,1,True,False,True,False
amazon,amazon_dedup_base_split,item,B0BMQT3N4F,12,2,1,1,10,2,1,1,True,False,True,False
amazon,amazon_dedup_base_split,item,B0BQRTSC4T,12,2,1,1,10,2,1,1,True,False,True,False
amazon,amazon_dedup_base_split,item,B0BMQTQN8H,12,2,1,1,10,2,1,1,True,False,True,False
amazon,amazon_dedup_base_split,item,B0C36YVSLX,12,5,1,4,7,5,1,4,True,False,True,False
amazon,amazon_dedup_base_split,item,B0BYFZZ69D,12,1,1,0,11,1,1,0,True,False,False,False
amazon,amazon_dedup_base_split,item,B0BN6M5LF7,13,5,1,4,8,5,1,4,True,False,True,False
amazon,amazon_dedup_base_split,item,B0BYT652L9,13,3,1,2,10,3,1,2,True,False,True,False
amazon,amazon_dedup_base_split,item,B0BZNP3HF7,13,3,1,2,10,3,1,2,True,False,True,False
amazon,amazon_dedup_base_split,item,B0BWZS1LFD,13,6,1,5,7,6,1,5,True,False,True,False
amazon,amazon_dedup_base_split,item,B09ZQ43QNP,13,7,1,6,6,7,1,6,True,False,True,False
amazon,amazon_dedup_base_split,item,B0C5J2PQ3N,13,2,1,1,11,2,1,1,True,False,True,False
amazon,amazon_dedup_base_split,item,B0CC4GW8TV,14,1,1,0,13,1,1,0,True,False,False,False
amazon,amazon_dedup_base_split,item,B0C7LTZZNK,15,3,1,2,12,3,1,2,True,False,True,False
amazon,amazon_dedup_base_split,item,B0C46YTDQ2,16,2,1,1,14,2,1,1,True,False,True,False
amazon,amazon_dedup_base_split,item,B0C5GYR5MJ,16,4,1,3,12,4,1,3,True,False,True,False
amazon,amazon_dedup_base_split,item,B0C7J2XLYK,19,2,1,1,17,2,1,1,True,False,True,False
amazon,amazon_random_keep0.9,item,B0C6FNFT7V,12,2,1,1,10,2,1,1,True,False,True,False
amazon,amazon_random_keep0.9,item,B0BXJZ9LXH,12,2,1,1,10,2,1,1,True,False,True,False
amazon,amazon_random_keep0.9,item,B0BMQT3N4F,12,2,1,1,10,2,1,1,True,False,True,False
amazon,amazon_random_keep0.9,item,B0BQRTSC4T,12,2,1,1,10,2,1,1,True,False,True,False
amazon,amazon_random_keep0.9,item,B0BMQTQN8H,12,2,1,1,10,2,1,1,True,False,True,False
amazon,amazon_random_keep0.9,item,B0C36YVSLX,12,5,1,4,7,4,1,3,True,False,True,False
amazon,amazon_random_keep0.9,item,B0BYFZZ69D,12,1,1,0,11,1,1,0,True,False,False,False
amazon,amazon_random_keep0.9,item,B0BN6M5LF7,13,5,1,4,8,5,1,4,True,False,True,False
amazon,amazon_random_keep0.9,item,B0BYT652L9,13,3,1,2,10,3,1,2,True,False,True,False
amazon,amazon_random_keep0.9,item,B0BZNP3HF7,13,3,1,2,10,3,1,2,True,False,True,False
