dataset,folder,method,keep_frac,entity_type,already_cold_in_base,became_cold_during_thinning,became_cold_during_valid_split,total_cold_in_final_train,reconciliation_check,status
amazon,amazon_dedup_base_split,userwise_temporal_holdout_with_coverage,1.0,user,0,0,0,0,True,PASS
amazon,amazon_dedup_base_split,userwise_temporal_holdout_with_coverage,1.0,item,18,0,16,18,False,FAIL
amazon,amazon_head_keep0.1,head_item_cut_train_only,0.1,user,0,14359,5991,20350,True,PASS
amazon,amazon_head_keep0.1,head_item_cut_train_only,0.1,item,18,2319,6554,8880,False,FAIL
amazon,amazon_random_keep0.1,random_thinning_train_only,0.1,user,0,13574,6550,20124,True,PASS
amazon,amazon_random_keep0.1,random_thinning_train_only,0.1,item,18,8522,2890,11430,True,PASS
amazon,amazon_random_keep0.3,random_thinning_train_only,0.3,user,0,760,2665,3425,True,PASS
amazon,amazon_random_keep0.3,random_thinning_train_only,0.3,item,18,487,507,1007,False,FAIL
amazon,amazon_random_keep0.5,random_thinning_train_only,0.5,user,0,18,209,227,True,PASS
amazon,amazon_random_keep0.5,random_thinning_train_only,0.5,item,18,33,86,126,False,FAIL
amazon,amazon_random_keep0.7,random_thinning_train_only,0.7,user,0,0,6,6,True,PASS
amazon,amazon_random_keep0.7,random_thinning_train_only,0.7,item,18,2,32,38,False,FAIL
amazon,amazon_random_keep0.9,random_thinning_train_only,0.9,user,0,0,0,0,True,PASS
amazon,amazon_random_keep0.9,random_thinning_train_only,0.9,item,18,0,16,19,False,FAIL
amazon,amazon_tail_keep0.1,tail_item_cut_train_only,0.1,user,0,13682,5407,19089,True,PASS
amazon,amazon_tail_keep0.1,tail_item_cut_train_only,0.1,item,18,14583,0,14601,True,PASS
hm,hm_dedup_base_split,userwise_temporal_holdout_with_coverage,1.0,user,0,0,0,0,True,PASS
hm,hm_dedup_base_split,userwise_temporal_holdout_with_coverage,1.0,item,6,0,6,6,False,FAIL
hm,hm_head_keep0.1,head_item_cut_train_only,0.1,user,0,651,1763,2414,True,PASS
hm,hm_head_keep0.1,head_item_cut_train_only,0.1,item,6,0,31,31,False,FAIL
hm,hm_random_keep0.05,random_thinning_train_only,0.05,user,0,4306,3774,8080,True,PASS
hm,hm_random_keep0.05,random_thinning_train_only,0.05,item,6,1334,1393,2733,True,PASS
hm,hm_random_keep0.1,random_thinning_train_only,0.1,user,0,538,1749,2287,True,PASS
hm,hm_random_keep0.1,random_thinning_train_only,0.1,item,6,224,446,675,False,FAIL
hm,hm_random_keep0.3,random_thinning_train_only,0.3,user,0,1,3,4,True,PASS
hm,hm_random_keep0.3,random_thinning_train_only,0.3,item,6,8,63,71,False,FAIL
hm,hm_random_keep0.5,random_thinning_train_only,0.5,user,0,0,0,0,True,PASS
hm,hm_random_keep0.5,random_thinning_train_only,0.5,item,6,2,28,30,False,FAIL
hm,hm_random_keep0.6,random_thinning_train_only,0.6,user,0,0,0,0,True,PASS
hm,hm_random_keep0.6,random_thinning_train_only,0.6,item,6,0,22,22,False,FAIL
hm,hm_random_keep0.7,random_thinning_train_only,0.7,user,0,0,0,0,True,PASS
hm,hm_random_keep0.7,random_thinning_train_only,0.7,item,6,0,12,12,False,FAIL
hm,hm_random_keep0.9,random_thinning_train_only,0.9,user,0,0,0,0,True,PASS
hm,hm_random_keep0.9,random_thinning_train_only,0.9,item,6,0,12,12,False,FAIL
hm,hm_tail_keep0.1,tail_item_cut_train_only,0.1,user,0,974,1735,2709,True,PASS
hm,hm_tail_keep0.1,tail_item_cut_train_only,0.1,item,6,4344,0,4350,True,PASS
