dataset,folder,method,keep_frac,n_users,n_items,n_interactions,oss_pct,uss,iss,user_gini,item_gini,coldstart_user,coldstart_user_pct,coldstart_item,coldstart_item_pct
amazon,amazon_dedup_base_split,base_split,,27525,20312,482225,0.0863,17.52,23.74,0.3478,0.4332,0,0.0,18,0.09
amazon,amazon_random_keep0.1,random,0.1,27525,20312,44234,0.0079,1.61,2.18,0.3214,0.4162,20124,73.11,11430,56.27
amazon,amazon_random_keep0.3,random,0.3,27525,20312,135575,0.0242,4.93,6.67,0.4224,0.4458,3425,12.44,1007,4.96
amazon,amazon_random_keep0.5,random,0.5,27525,20312,237102,0.0424,8.61,11.67,0.375,0.4408,227,0.82,126,0.62
amazon,amazon_random_keep0.7,random,0.7,27525,20312,336482,0.0602,12.22,16.57,0.3546,0.4375,6,0.02,38,0.19
amazon,amazon_random_keep0.9,random,0.9,27525,20312,433994,0.0776,15.77,21.37,0.3484,0.4345,0,0.0,19,0.09
amazon,amazon_head_keep0.1,head,0.1,27525,20312,44891,0.008,1.63,2.21,0.3336,0.3742,20350,73.93,8880,43.72
amazon,amazon_tail_keep0.1,tail,0.1,27525,20312,44796,0.008,1.63,2.21,0.314,0.4892,19089,69.35,14601,71.88
hm,hm_dedup_base_split,base_split,,12905,6654,506649,0.59,39.26,76.14,0.1707,0.4062,0,0.0,6,0.09
hm,hm_random_keep0.05,random,0.05,12905,6654,21227,0.0247,1.64,3.19,0.2899,0.4838,8080,62.61,2733,41.07
hm,hm_random_keep0.1,random,0.1,12905,6654,44908,0.0523,3.48,6.75,0.3286,0.4482,2287,17.72,675,10.14
hm,hm_random_keep0.3,random,0.3,12905,6654,148181,0.1726,11.48,22.27,0.2176,0.4164,4,0.03,71,1.07
hm,hm_random_keep0.5,random,0.5,12905,6654,250766,0.292,19.43,37.69,0.1937,0.4103,0,0.0,30,0.45
hm,hm_random_keep0.6,random,0.6,12905,6654,301769,0.3514,23.38,45.35,0.1854,0.4105,0,0.0,22,0.33
hm,hm_random_keep0.7,random,0.7,12905,6654,352785,0.4108,27.34,53.02,0.1815,0.409,0,0.0,12,0.18
hm,hm_random_keep0.9,random,0.9,12905,6654,455408,0.5303,35.29,68.44,0.1711,0.4064,0,0.0,12,0.18
hm,hm_head_keep0.1,head,0.1,12905,6654,44925,0.0523,3.48,6.75,0.3361,0.2607,2414,18.71,31,0.47
hm,hm_tail_keep0.1,tail,0.1,12905,6654,45566,0.0531,3.53,6.85,0.3505,0.8072,2709,20.99,4350,65.37
