dataset,folder,method,keep_frac,split,n_rows,n_users,n_items,n_interactions,oss_pct,uss,iss,user_gini,item_gini,coldstart_user,coldstart_item,coldstart_user_fraction,coldstart_user_pct,coldstart_item_fraction,coldstart_item_pct,u0_count,u1_count,i0_count,i1_count,min_user_interactions,min_item_interactions,p01_user_interactions,p01_item_interactions
amazon,amazon_head_keep0.1,head_item_cut_train_only,0.1,train,44891,27525,20312,44891,0.008029,1.6309,2.2101,0.333559,0.374205,0.73932788,0.43717999,0.73932788,73.932788,0.43717999,43.717999,0.0,20350.0,0.0,8880.0,1.0,1.0,1.0,1.0
amazon,amazon_head_keep0.1,head_item_cut_train_only,0.1,valid,9655,9590,9655,9655,0.001727,0.3508,0.4753,0.653921,0.524665,0.99778383,1.0,0.99778383,99.778383,1.0,100.0,,,,,,,1.0,1.0
amazon,amazon_head_keep0.1,head_item_cut_train_only,0.1,test,74529,27377,16546,74529,0.01333,2.7077,3.6692,0.228876,0.600178,0.01148047,0.39434817,0.01148047,1.148047,0.39434817,39.434817,,,,,,,1.0,1.0
amazon,amazon_random_keep0.9,random_thinning_train_only,0.9,train,433994,27525,20312,433994,0.077625,15.7673,21.3664,0.348384,0.434544,0.0,0.00093541,0.0,0.0,0.00093541,0.093541,0.0,0.0,0.0,19.0,4.0,1.0,6.0,4.0
amazon,amazon_random_keep0.9,random_thinning_train_only,0.9,valid,56916,26798,16130,56916,0.01018,2.0678,2.8021,0.292867,0.588316,0.31316985,0.46199291,0.31316985,31.316985,0.46199291,46.199291,,,,,,,6.0,4.0
amazon,amazon_random_keep0.9,random_thinning_train_only,0.9,test,74529,27377,16546,74529,0.01333,2.7077,3.6692,0.228876,0.600178,0.01148047,0.39434817,0.01148047,1.148047,0.39434817,39.434817,,,,,,,6.0,4.0
amazon,amazon_random_keep0.7,random_thinning_train_only,0.7,train,336482,27525,20312,336482,0.060184,12.2246,16.5657,0.354581,0.437477,0.00021798,0.00187082,0.00021798,0.021798,0.00187082,0.187082,0.0,6.0,0.0,38.0,1.0,1.0,4.0,3.0
amazon,amazon_random_keep0.7,random_thinning_train_only,0.7,valid,45336,26709,14995,45336,0.008109,1.6471,2.232,0.298587,0.603914,0.55436876,0.54627806,0.55436876,55.436876,0.54627806,54.627806,,,,,,,4.0,3.0
amazon,amazon_random_keep0.7,random_thinning_train_only,0.7,test,74529,27377,16546,74529,0.01333,2.7077,3.6692,0.228876,0.600178,0.01148047,0.39434817,0.01148047,1.148047,0.39434817,39.434817,,,,,,,4.0,3.0
amazon,amazon_random_keep0.5,random_thinning_train_only,0.5,train,237102,27525,20312,237102,0.042409,8.6141,11.673,0.374956,0.440799,0.00824705,0.00620323,0.00824705,0.824705,0.00620323,0.620323,0.0,227.0,0.0,126.0,1.0,1.0,2.0,2.0
amazon,amazon_random_keep0.5,random_thinning_train_only,0.5,valid,35626,26532,13521,35626,0.006372,1.2943,1.7539,0.239309,0.628186,0.77184378,0.62898779,0.77184378,77.184378,0.62898779,62.898779,,,,,,,2.0,2.0
amazon,amazon_random_keep0.5,random_thinning_train_only,0.5,test,74529,27377,16546,74529,0.01333,2.7077,3.6692,0.228876,0.600178,0.01148047,0.39434817,0.01148047,1.148047,0.39434817,39.434817,,,,,,,2.0,2.0
amazon,amazon_random_keep0.3,random_thinning_train_only,0.3,train,135575,27525,20312,135575,0.024249,4.9255,6.6746,0.422401,0.445789,0.12443233,0.0495766,0.12443233,12.443233,0.0495766,4.95766,0.0,3425.0,0.0,1007.0,1.0,1.0,1.0,1.0
amazon,amazon_random_keep0.3,random_thinning_train_only,0.3,valid,28061,25339,11960,28061,0.005019,1.0195,1.3815,0.163093,0.658421,0.92595822,0.70460811,0.92595822,92.595822,0.70460811,70.460811,,,,,,,1.0,1.0
amazon,amazon_random_keep0.3,random_thinning_train_only,0.3,test,74529,27377,16546,74529,0.01333,2.7077,3.6692,0.228876,0.600178,0.01148047,0.39434817,0.01148047,1.148047,0.39434817,39.434817,,,,,,,1.0,1.0
amazon,amazon_random_keep0.1,random_thinning_train_only,0.1,train,44234,27525,20312,44234,0.007912,1.607,2.1777,0.32136,0.416206,0.73111717,0.56272154,0.73111717,73.111717,0.56272154,56.272154,0.0,20124.0,0.0,11430.0,1.0,1.0,1.0,1.0
amazon,amazon_random_keep0.1,random_thinning_train_only,0.1,valid,10312,10273,6550,10312,0.001844,0.3746,0.5077,0.628183,0.772205,0.9986921,0.90188066,0.9986921,99.86921,0.90188066,90.188066,,,,,,,1.0,1.0
amazon,amazon_random_keep0.1,random_thinning_train_only,0.1,test,74529,27377,16546,74529,0.01333,2.7077,3.6692,0.228876,0.600178,0.01148047,0.39434817,0.01148047,1.148047,0.39434817,39.434817,,,,,,,1.0,1.0
amazon,amazon_tail_keep0.1,tail_item_cut_train_only,0.1,train,44796,27525,20312,44796,0.008012,1.6275,2.2054,0.314049,0.489249,0.69351499,0.71883616,0.69351499,69.351499,0.71883616,71.883616,0.0,19089.0,0.0,14601.0,1.0,1.0,1.0,1.0
amazon,amazon_tail_keep0.1,tail_item_cut_train_only,0.1,valid,9750,9735,39,9750,0.001744,0.3542,0.48,0.646865,0.998334,0.99945504,0.99807995,0.99945504,99.945504,0.99807995,99.807995,,,,,,,1.0,1.0
amazon,amazon_tail_keep0.1,tail_item_cut_train_only,0.1,test,74529,27377,16546,74529,0.01333,2.7077,3.6692,0.228876,0.600178,0.01148047,0.39434817,0.01148047,1.148047,0.39434817,39.434817,,,,,,,1.0,1.0
amazon,amazon_dedup_base_split,userwise_temporal_holdout_with_coverage,1.0,train,482225,27525,20312,482225,0.086252,17.5195,23.7409,0.347818,0.433242,0.0,0.00088618,0.0,0.0,0.00088618,0.088618,0.0,0.0,0.0,18.0,9.0,1.0,9.0,5.0
amazon,amazon_dedup_base_split,userwise_temporal_holdout_with_coverage,1.0,valid,63230,26818,16663,63230,0.011309,2.2972,3.1129,0.270417,0.579866,0.18597639,0.42034265,0.18597639,18.597639,0.42034265,42.034265,,,,,,,9.0,5.0
amazon,amazon_dedup_base_split,userwise_temporal_holdout_with_coverage,1.0,test,74529,27377,16546,74529,0.01333,2.7077,3.6692,0.228876,0.600178,0.01148047,0.39434817,0.01148047,1.148047,0.39434817,39.434817,,,,,,,9.0,5.0
