dataset,folder,keep_frac,entity_type,count_bucket,entity_count,entity_pct
amazon,amazon_dedup_base_split,1.0,user,0,0,0.0
amazon,amazon_dedup_base_split,1.0,user,1,0,0.0
amazon,amazon_dedup_base_split,1.0,user,2,0,0.0
amazon,amazon_dedup_base_split,1.0,user,3-5,0,0.0
amazon,amazon_dedup_base_split,1.0,user,6-10,10226,37.1517
amazon,amazon_dedup_base_split,1.0,user,11-20,12183,44.2616
amazon,amazon_dedup_base_split,1.0,user,21-50,4186,15.208
amazon,amazon_dedup_base_split,1.0,user,>50,930,3.3787
amazon,amazon_dedup_base_split,1.0,item,0,0,0.0
amazon,amazon_dedup_base_split,1.0,item,1,18,0.0886
amazon,amazon_dedup_base_split,1.0,item,2,22,0.1083
amazon,amazon_dedup_base_split,1.0,item,3-5,237,1.1668
amazon,amazon_dedup_base_split,1.0,item,6-10,3497,17.2164
amazon,amazon_dedup_base_split,1.0,item,11-20,10235,50.3889
amazon,amazon_dedup_base_split,1.0,item,21-50,4675,23.016
amazon,amazon_dedup_base_split,1.0,item,>50,1628,8.015
amazon,amazon_head_keep0.1,0.1,user,0,0,0.0
amazon,amazon_head_keep0.1,0.1,user,1,20350,73.9328
amazon,amazon_head_keep0.1,0.1,user,2,4072,14.7938
amazon,amazon_head_keep0.1,0.1,user,3-5,2445,8.8828
amazon,amazon_head_keep0.1,0.1,user,6-10,452,1.6421
amazon,amazon_head_keep0.1,0.1,user,11-20,143,0.5195
amazon,amazon_head_keep0.1,0.1,user,21-50,53,0.1926
amazon,amazon_head_keep0.1,0.1,user,>50,10,0.0363
amazon,amazon_head_keep0.1,0.1,item,0,0,0.0
amazon,amazon_head_keep0.1,0.1,item,1,8880,43.718
amazon,amazon_head_keep0.1,0.1,item,2,7395,36.4071
amazon,amazon_head_keep0.1,0.1,item,3-5,2947,14.5087
amazon,amazon_head_keep0.1,0.1,item,6-10,802,3.9484
amazon,amazon_head_keep0.1,0.1,item,11-20,235,1.157
amazon,amazon_head_keep0.1,0.1,item,21-50,53,0.2609
amazon,amazon_head_keep0.1,0.1,item,>50,0,0.0
amazon,amazon_random_keep0.1,0.1,user,0,0,0.0
amazon,amazon_random_keep0.1,0.1,user,1,20124,73.1117
amazon,amazon_random_keep0.1,0.1,user,2,4249,15.4369
amazon,amazon_random_keep0.1,0.1,user,3-5,2560,9.3006
amazon,amazon_random_keep0.1,0.1,user,6-10,433,1.5731
amazon,amazon_random_keep0.1,0.1,user,11-20,110,0.3996
amazon,amazon_random_keep0.1,0.1,user,21-50,42,0.1526
amazon,amazon_random_keep0.1,0.1,user,>50,7,0.0254
amazon,amazon_random_keep0.1,0.1,item,0,0,0.0
amazon,amazon_random_keep0.1,0.1,item,1,11430,56.2722
amazon,amazon_random_keep0.1,0.1,item,2,4493,22.1199
amazon,amazon_random_keep0.1,0.1,item,3-5,3151,15.513
amazon,amazon_random_keep0.1,0.1,item,6-10,897,4.4161
amazon,amazon_random_keep0.1,0.1,item,11-20,266,1.3096
amazon,amazon_random_keep0.1,0.1,item,21-50,75,0.3692
amazon,amazon_random_keep0.1,0.1,item,>50,0,0.0
amazon,amazon_random_keep0.3,0.3,user,0,0,0.0
amazon,amazon_random_keep0.3,0.3,user,1,3425,12.4432
amazon,amazon_random_keep0.3,0.3,user,2,4500,16.3488
amazon,amazon_random_keep0.3,0.3,user,3-5,12473,45.3152
amazon,amazon_random_keep0.3,0.3,user,6-10,5408,19.6476
amazon,amazon_random_keep0.3,0.3,user,11-20,1269,4.6104
amazon,amazon_random_keep0.3,0.3,user,21-50,369,1.3406
amazon,amazon_random_keep0.3,0.3,user,>50,81,0.2943
amazon,amazon_random_keep0.3,0.3,item,0,0,0.0
amazon,amazon_random_keep0.3,0.3,item,1,1007,4.9577
amazon,amazon_random_keep0.3,0.3,item,2,2478,12.1997
amazon,amazon_random_keep0.3,0.3,item,3-5,9180,45.195
amazon,amazon_random_keep0.3,0.3,item,6-10,4967,24.4535
amazon,amazon_random_keep0.3,0.3,item,11-20,1830,9.0095
amazon,amazon_random_keep0.3,0.3,item,21-50,717,3.5299
amazon,amazon_random_keep0.3,0.3,item,>50,133,0.6548
amazon,amazon_random_keep0.5,0.5,user,0,0,0.0
amazon,amazon_random_keep0.5,0.5,user,1,227,0.8247
amazon,amazon_random_keep0.5,0.5,user,2,804,2.921
amazon,amazon_random_keep0.5,0.5,user,3-5,9026,32.792
amazon,amazon_random_keep0.5,0.5,user,6-10,12693,46.1144
amazon,amazon_random_keep0.5,0.5,user,11-20,3475,12.6249
amazon,amazon_random_keep0.5,0.5,user,21-50,1079,3.9201
amazon,amazon_random_keep0.5,0.5,user,>50,221,0.8029
amazon,amazon_random_keep0.5,0.5,item,0,0,0.0
amazon,amazon_random_keep0.5,0.5,item,1,126,0.6203
amazon,amazon_random_keep0.5,0.5,item,2,382,1.8807
amazon,amazon_random_keep0.5,0.5,item,3-5,4805,23.656
amazon,amazon_random_keep0.5,0.5,item,6-10,8808,43.3635
amazon,amazon_random_keep0.5,0.5,item,11-20,3973,19.5599
amazon,amazon_random_keep0.5,0.5,item,21-50,1759,8.6599
amazon,amazon_random_keep0.5,0.5,item,>50,459,2.2597
amazon,amazon_random_keep0.7,0.7,user,0,0,0.0
amazon,amazon_random_keep0.7,0.7,user,1,6,0.0218
amazon,amazon_random_keep0.7,0.7,user,2,27,0.0981
amazon,amazon_random_keep0.7,0.7,user,3-5,2355,8.5559
amazon,amazon_random_keep0.7,0.7,user,6-10,15875,57.6748
amazon,amazon_random_keep0.7,0.7,user,11-20,6640,24.1235
amazon,amazon_random_keep0.7,0.7,user,21-50,2176,7.9055
amazon,amazon_random_keep0.7,0.7,user,>50,446,1.6203
amazon,amazon_random_keep0.7,0.7,item,0,0,0.0
amazon,amazon_random_keep0.7,0.7,item,1,38,0.1871
amazon,amazon_random_keep0.7,0.7,item,2,79,0.3889
amazon,amazon_random_keep0.7,0.7,item,3-5,1366,6.7251
amazon,amazon_random_keep0.7,0.7,item,6-10,8641,42.5414
amazon,amazon_random_keep0.7,0.7,item,11-20,6422,31.6168
amazon,amazon_random_keep0.7,0.7,item,21-50,2866,14.1099
amazon,amazon_random_keep0.7,0.7,item,>50,900,4.4309
amazon,amazon_random_keep0.9,0.9,user,0,0,0.0
amazon,amazon_random_keep0.9,0.9,user,1,0,0.0
amazon,amazon_random_keep0.9,0.9,user,2,0,0.0
amazon,amazon_random_keep0.9,0.9,user,3-5,45,0.1635
amazon,amazon_random_keep0.9,0.9,user,6-10,12909,46.8992
amazon,amazon_random_keep0.9,0.9,user,11-20,10349,37.5985
amazon,amazon_random_keep0.9,0.9,user,21-50,3461,12.574
amazon,amazon_random_keep0.9,0.9,user,>50,761,2.7648
amazon,amazon_random_keep0.9,0.9,item,0,0,0.0
amazon,amazon_random_keep0.9,0.9,item,1,19,0.0935
amazon,amazon_random_keep0.9,0.9,item,2,34,0.1674
amazon,amazon_random_keep0.9,0.9,item,3-5,393,1.9348
amazon,amazon_random_keep0.9,0.9,item,6-10,5370,26.4376
amazon,amazon_random_keep0.9,0.9,item,11-20,9038,44.4959
amazon,amazon_random_keep0.9,0.9,item,21-50,4091,20.1408
amazon,amazon_random_keep0.9,0.9,item,>50,1367,6.73
amazon,amazon_tail_keep0.1,0.1,user,0,0,0.0
amazon,amazon_tail_keep0.1,0.1,user,1,19089,69.3515
amazon,amazon_tail_keep0.1,0.1,user,2,4839,17.5804
amazon,amazon_tail_keep0.1,0.1,user,3-5,3082,11.1971
amazon,amazon_tail_keep0.1,0.1,user,6-10,410,1.4896
amazon,amazon_tail_keep0.1,0.1,user,11-20,71,0.2579
amazon,amazon_tail_keep0.1,0.1,user,21-50,29,0.1054
amazon,amazon_tail_keep0.1,0.1,user,>50,5,0.0182
amazon,amazon_tail_keep0.1,0.1,item,0,0,0.0
amazon,amazon_tail_keep0.1,0.1,item,1,14601,71.8836
amazon,amazon_tail_keep0.1,0.1,item,2,2414,11.8846
amazon,amazon_tail_keep0.1,0.1,item,3-5,2343,11.5351
amazon,amazon_tail_keep0.1,0.1,item,6-10,685,3.3724
amazon,amazon_tail_keep0.1,0.1,item,11-20,201,0.9896
amazon,amazon_tail_keep0.1,0.1,item,21-50,30,0.1477
amazon,amazon_tail_keep0.1,0.1,item,>50,38,0.1871
hm,hm_dedup_base_split,1.0,user,0,0,0.0
hm,hm_dedup_base_split,1.0,user,1,0,0.0
hm,hm_dedup_base_split,1.0,user,2,0,0.0
hm,hm_dedup_base_split,1.0,user,3-5,0,0.0
hm,hm_dedup_base_split,1.0,user,6-10,0,0.0
hm,hm_dedup_base_split,1.0,user,11-20,0,0.0
hm,hm_dedup_base_split,1.0,user,21-50,11071,85.7885
hm,hm_dedup_base_split,1.0,user,>50,1834,14.2115
hm,hm_dedup_base_split,1.0,item,0,0,0.0
hm,hm_dedup_base_split,1.0,item,1,6,0.0902
hm,hm_dedup_base_split,1.0,item,2,16,0.2405
hm,hm_dedup_base_split,1.0,item,3-5,78,1.1722
hm,hm_dedup_base_split,1.0,item,6-10,155,2.3294
hm,hm_dedup_base_split,1.0,item,11-20,286,4.2982
hm,hm_dedup_base_split,1.0,item,21-50,2427,36.4743
hm,hm_dedup_base_split,1.0,item,>50,3686,55.3953
hm,hm_head_keep0.1,0.1,user,0,0,0.0
hm,hm_head_keep0.1,0.1,user,1,2414,18.7059
hm,hm_head_keep0.1,0.1,user,2,2547,19.7365
hm,hm_head_keep0.1,0.1,user,3-5,5989,46.4084
hm,hm_head_keep0.1,0.1,user,6-10,1828,14.1651
hm,hm_head_keep0.1,0.1,user,11-20,118,0.9144
hm,hm_head_keep0.1,0.1,user,21-50,9,0.0697
hm,hm_head_keep0.1,0.1,user,>50,0,0.0
hm,hm_head_keep0.1,0.1,item,0,0,0.0
hm,hm_head_keep0.1,0.1,item,1,31,0.4659
hm,hm_head_keep0.1,0.1,item,2,207,3.1109
hm,hm_head_keep0.1,0.1,item,3-5,2389,35.9032
hm,hm_head_keep0.1,0.1,item,6-10,3346,50.2855
hm,hm_head_keep0.1,0.1,item,11-20,587,8.8218
hm,hm_head_keep0.1,0.1,item,21-50,93,1.3977
hm,hm_head_keep0.1,0.1,item,>50,1,0.015
hm,hm_random_keep0.05,0.05,user,0,0,0.0
hm,hm_random_keep0.05,0.05,user,1,8080,62.6114
hm,hm_random_keep0.05,0.05,user,2,2845,22.0457
hm,hm_random_keep0.05,0.05,user,3-5,1806,13.9946
hm,hm_random_keep0.05,0.05,user,6-10,162,1.2553
