folder,expected_keep_frac,actual_keep_frac,rel_error_pct,C_keepfrac
amazon_head_keep0.1,0.1,0.0931,6.91,WARN
amazon_random_keep0.1,0.1,0.0917,8.27,WARN
amazon_random_keep0.3,0.3,0.2811,6.28,WARN
amazon_random_keep0.5,0.5,0.4917,1.66,PASS
amazon_random_keep0.7,0.7,0.6978,0.32,PASS
amazon_random_keep0.9,0.9,0.9,0.0,PASS
amazon_tail_keep0.1,0.1,0.0929,7.11,WARN
hm_head_keep0.1,0.1,0.0887,11.33,WARN
hm_random_keep0.05,0.05,0.0419,16.21,WARN
hm_random_keep0.1,0.1,0.0886,11.36,WARN
hm_random_keep0.3,0.3,0.2925,2.51,PASS
hm_random_keep0.5,0.5,0.495,1.01,PASS
hm_random_keep0.6,0.6,0.5956,0.73,PASS
hm_random_keep0.7,0.7,0.6963,0.53,PASS
hm_random_keep0.9,0.9,0.8989,0.13,PASS
hm_tail_keep0.1,0.1,0.0899,10.06,WARN
