folder,split,path,exists,mtime,rows,stable_hash
amazon_dedup_base_split,train,D:\recsys-pipeline\data\processed\amazon_dedup_base_split\train.csv,True,2026-08-09 14:47:14,482225,b51e81cd48
amazon_dedup_base_split,valid,D:\recsys-pipeline\data\processed\amazon_dedup_base_split\valid.csv,True,2026-08-09 14:47:16,63230,e941cff5ae
amazon_dedup_base_split,test,D:\recsys-pipeline\data\processed\amazon_dedup_base_split\test.csv,True,2026-08-09 14:47:18,74529,05888d78e3
amazon_dedup_base_split,metadata,D:\recsys-pipeline\data\processed\amazon_dedup_base_split\metadata.json,True,2026-08-09 14:47:23,47896,
amazon_head_keep0.1,train,D:\recsys-pipeline\data\processed\amazon_head_keep0.1\train.csv,True,2026-08-09 14:53:13,44891,886833c2a8
amazon_head_keep0.1,valid,D:\recsys-pipeline\data\processed\amazon_head_keep0.1\valid.csv,True,2026-08-09 14:53:13,9655,c1d0175dc9
amazon_head_keep0.1,test,D:\recsys-pipeline\data\processed\amazon_head_keep0.1\test.csv,True,2026-08-09 14:53:14,74529,05888d78e3
amazon_head_keep0.1,metadata,D:\recsys-pipeline\data\processed\amazon_head_keep0.1\metadata.json,True,2026-08-09 14:53:15,47897,
amazon_random_keep0.1,train,D:\recsys-pipeline\data\processed\amazon_random_keep0.1\train.csv,True,2026-08-09 14:52:50,44234,e44ead2d72
amazon_random_keep0.1,valid,D:\recsys-pipeline\data\processed\amazon_random_keep0.1\valid.csv,True,2026-08-09 14:52:50,10312,94c507f7b8
amazon_random_keep0.1,test,D:\recsys-pipeline\data\processed\amazon_random_keep0.1\test.csv,True,2026-08-09 14:52:51,74529,05888d78e3
amazon_random_keep0.1,metadata,D:\recsys-pipeline\data\processed\amazon_random_keep0.1\metadata.json,True,2026-08-09 14:52:51,47897,
amazon_random_keep0.3,train,D:\recsys-pipeline\data\processed\amazon_random_keep0.3\train.csv,True,2026-08-09 14:52:26,135575,9fbedfe91d
amazon_random_keep0.3,valid,D:\recsys-pipeline\data\processed\amazon_random_keep0.3\valid.csv,True,2026-08-09 14:52:26,28061,3aecf6333e
amazon_random_keep0.3,test,D:\recsys-pipeline\data\processed\amazon_random_keep0.3\test.csv,True,2026-08-09 14:52:27,74529,05888d78e3
amazon_random_keep0.3,metadata,D:\recsys-pipeline\data\processed\amazon_random_keep0.3\metadata.json,True,2026-08-09 14:52:28,47897,
amazon_random_keep0.5,train,D:\recsys-pipeline\data\processed\amazon_random_keep0.5\train.csv,True,2026-08-09 14:51:54,237102,dd428726c9
amazon_random_keep0.5,valid,D:\recsys-pipeline\data\processed\amazon_random_keep0.5\valid.csv,True,2026-08-09 14:51:55,35626,3fe4074bda
amazon_random_keep0.5,test,D:\recsys-pipeline\data\processed\amazon_random_keep0.5\test.csv,True,2026-08-09 14:51:58,74529,05888d78e3
amazon_random_keep0.5,metadata,D:\recsys-pipeline\data\processed\amazon_random_keep0.5\metadata.json,True,2026-08-09 14:51:59,47897,
amazon_random_keep0.7,train,D:\recsys-pipeline\data\processed\amazon_random_keep0.7\train.csv,True,2026-08-09 14:50:39,336482,3c8b398697
amazon_random_keep0.7,valid,D:\recsys-pipeline\data\processed\amazon_random_keep0.7\valid.csv,True,2026-08-09 14:50:41,45336,ed4b9f0f63
amazon_random_keep0.7,test,D:\recsys-pipeline\data\processed\amazon_random_keep0.7\test.csv,True,2026-08-09 14:50:43,74529,05888d78e3
amazon_random_keep0.7,metadata,D:\recsys-pipeline\data\processed\amazon_random_keep0.7\metadata.json,True,2026-08-09 14:50:47,47897,
amazon_random_keep0.9,train,D:\recsys-pipeline\data\processed\amazon_random_keep0.9\train.csv,True,2026-08-09 14:49:16,433994,bbd25899e1
amazon_random_keep0.9,valid,D:\recsys-pipeline\data\processed\amazon_random_keep0.9\valid.csv,True,2026-08-09 14:49:18,56916,2800fc5400
amazon_random_keep0.9,test,D:\recsys-pipeline\data\processed\amazon_random_keep0.9\test.csv,True,2026-08-09 14:49:20,74529,05888d78e3
amazon_random_keep0.9,metadata,D:\recsys-pipeline\data\processed\amazon_random_keep0.9\metadata.json,True,2026-08-09 14:49:26,47897,
